engelsk,CEFR,gender,ord,wordAudio,uttale,etymologi,definisjon,sentenceAudio,eksempel,sentenceTranslation,sentenceToDelete
common denominator,B2,en,fellesnevner,X,,Old Norse,"nevner som andre nevnere i et matematisk uttrykk går opp i; rød tråd; forhold, sak, ting som utgjør et bindeledd for noe som ellers er splittet",X,"Dersom en skal addere brøker med forskjellige nevnere, må en først finne fellesnevneren.","If you want to add fractions with different denominators, you must first find the common denominator.",
communal farm,C,ei,fellesseter,X,,,felles seter for flere gardsbruk,X,Fellesseteren ble brukt av flere familier om sommeren.,The communal farm was used by several families in the summer.,
"community, fellowship",A2,et,fellesskap,X,,Old Norse,sameksistens,X,Skolen skaper et godt fellesskap mellom elevene.,The school creates a good community between the students.,
"common language, lingua franca",B2,et,fellesspråk,X,,Old Norse,"språk som er felles for flere land, nasjoner; språk som er felles på tvers av ulike grupper eller nasjonaliteter",X,De fant et fellesspråk som gjorde kommunikasjonen lettere.,They found a common language that made communication easier.,
shared trait,B2,et,fellestrekk,X,,Old Norse,"trekk, kjennetegn som er felles for noe(n)",X,Det er mange fellestrekk mellom de to kulturene.,There are many commonalities between the two cultures.,
field,B1,et,felt,X,,German,"del av flate, (avgrenset) område, areal",X,Hun jobbet på et felt innen biologi.,She worked in a field of biology.,
battlefield,B1,en,felt,X,,German,"slagmark, krig",X,Soldatene marsjerte over feltet.,The soldiers marched across the field.,
field camp,B2,en,feltleir,X,,,leir som slås av en hær på feltfot,X,Soldatene satte opp en feltleir ved elva før de rykket videre.,The soldiers set up a field camp by the river before moving on.,
feldspar,C,en,feltspat,X,,German,"stor mineralgruppe som er dannet ved størkning og krystallisering av magma, og ligger til grunn for inndelingen av eruptive bergarter",X,Feltspat er et av de vanligste mineralene i jordskorpen.,Feldspar is one of the most common minerals in the Earth’s crust.,
campaign,B2,et,felttog,X,,,"krigsoperasjon, hærtog; kampanje, bred aksjon, kamp",X,Kampen mot sykdommen ble sett som et felttog for helse.,The fight against the disease was seen as a campaign for health.,
five,A1,numeral,fem,X,[fem:],"Old Norse: fim, fimm",grunntallet 5,X,Vi har fem katter hjemme!,We have five cats at home!,
quintuple,B2,verb,femdoble,X,,,gjøre fem ganger så stor,X,Selskapet femdoblet omsetningen på to år.,The company quintupled its revenue in two years.,
effeminate,B2,adjective,femi,X,[fe:´mi],,feminin,X,Han hadde en bevisst femi stil og var stolt av den.,He deliberately cultivated an effeminate style and was proud of it.,
feminine,B2,adjective,feminin,X,"[femini:´n], [fe:´minin]",Latin,"som er typisk for kvinner i motsetning til menn, kvinnelig; som er av grammatisk hunkjønn",X,Kjolen hadde et veldig feminint snitt.,The dress had a very feminine cut.,
femininity,B2,en,femininitet,X,,Latin,"det å være feminin, kvinnelighet",X,Hun viste en sterk femininitet i sin stil.,She showed a strong femininity in her style.,
feminine,B2,et,femininum,X,,,hunkjønn; hunkjønnsord,X,Femininum brukes om substantiv som følger regelen for hunkjønn.,Feminine gender is used for nouns that follow the feminine pattern.,
feminize,B2,verb,feminisere,X,,Latin,gjøre (mer) feminin,X,Noen prøver å feminisere språket for å være mer inkluderende.,Some try to feminize the language to be more inclusive.,
feminism,B2,en,feminisme,X,,Latin,"arbeid for å forbedre kvinners politiske, økonomiske og sosiale vilkår og å oppnå likestilling mellom kjønnene; kvinnesak; ideologi med mål om å jevne ut skjev maktbalanse mellom kjønnene",X,Feminisme handler om likestilling mellom kjønnene.,Feminism is about equality between the sexes.,
feminist,B2,en,feminist,X,[femini´st],Latin,person som arbeider for kvinners likestilling og frigjøring; tilhenger av feminismen,X,"Jeg kjenner det begynner å gro en liten feminist inni meg, en jeg ikke trodde eksisterte.","I feel a little feminist starting to grow inside me, someone I didn't think existed.",
feminist,B2,adjective,feministisk,X,,Latin,som har med feminisme å gjøre,X,Hun hadde et klart feministisk ståsted.,She had a clear feminist point of view.,
pentagon,B1,en,femkant,X,,,plan figur med fem kanter; legeme med femkantet profil,X,Huset hadde et tak med en unik femkantet form.,The house had a roof with a unique pentagonal shape.,
pentagonal,C,adjective,"femkantet, femkanta",X,,,som har fem hjørner og fem kanter,X,"Bygningen hadde en spesiell, femkantet form.",The building had a special pentagonal shape.,
fifth,A2,adjective,femte,X,,Old Norse: fimti,ordenstall til fem (5.),X,Han kom på femte plass i løpet.,He came fifth in the race.,
fifth wheel,B2,expression,femte hjul på vogna,X,,,(kjenne seg som eller være) til overs,X,Han følte seg som femte hjul på vogna da ingen snakket med ham på festen.,He felt like a fifth wheel when no one talked to him at the party.,
fifth,A2,en,"femtedel, femdel",X,,,hver av fem like deler,X,En femtedel av befolkningen stemte på det nye partiet.,A fifth of the population voted for the new party.,
fifteen,A1,numeral,femten,X,[fe`mt(ə)n],Old Norse: fimtán,grunntallet 15,X,Det var femten elever i klassen.,There were fifteen students in the class.,
fifteenth,A2,adjective,femtende,X,,Old Norse: fimtándi,ordenstall til 15 (15.),X,Hun bor i den femtende leiligheten i bygget.,She lives in the fifteenth apartment in the building.,
fifty,A1,numeral,femti,X,[fe´mti],Old Norse: fimtigi,grunntallet 50,X,Kan du låne meg femti kroner?,Can you lend me fifty kroner?,
fifty-fifty,B2,adverb,femti-femti,X,,English,"det halve av hvert, halvt om halvt",X,Vi delte regningen femti-femti.,We split the bill fifty-fifty.,
fiftieth,B1,adjective,femtiende,X,,Old Norse,ordenstall til 50 (50.),X,Han kom på femtiende plass i løpet.,He came in fiftieth place in the race.,
feng shui,B2,en,"feng shui, fengshui",X,"[fe´ŋ:´ ʃui:´], [fe´ŋ:´ ʃu:´i]",Chinese,"kinesisk prinsipp, spådomsmetode brukt ved plassering og innretning av bygninger og rom for å skape et harmonisk forhold mellom gjenstander og antatte energistrømninger",X,Han er opptatt av god feng shui i boligen.,He is committed to good feng shui in the home.,
catchy,B2,adjective,fengende,X,,,oppildnende; som fanger interesse,X,Sangen hadde et fengende refreng som alle husket.,The song had a catchy chorus that everyone remembered.,
"imprison, captivate, capture",B2,verb,fengsle,X,,,sette i fengsel; vekke sterk interesse hos,X,Han ble fengslet av personligheten hennes.,He was captivated by her personality.,
phenomenon,B1,et,fenomen,X,[fenome:´n],Greek via Latin,"det som oppfattes av sansene, i motsetning til ‘tingen i seg selv’, foreteelse",X,Det er et ganske unormalt fenomen.,It's quite an unusual phenomenon.,
phenomenal,B2,adjective,fenomenal,X,[fenoməna:´l],Greek via Latin,"oppsiktsvekkende, enestående",X,Han er fenomenal til å regne i hodet.,He is phenomenal at calculating in his head.,
phenomenology,C,en,fenomenologi,X,,Greek via Latin,"læren om fenomenene; læren om bevissthetens, erkjennelsens former og utvikling; filosofisk grunnvitenskap som vil finne frem til tingenes vesen",X,Filosofen spesialiserte seg i fenomenologi.,The philosopher specialized in phenomenology.,
ensign,C,en,fenrik,X,,,offiser av laveste grad,X,Fenrik Olsen ga ordre til soldatene sine.,Ensign Olsen gave orders to his soldiers.,
"journey, voyage, behavior",B2,ei,ferd,X,[fær-d],Old Norse: ferð,"reise, ekspedisjon; atferd, fremferd",X,Hun var ærlig og redelig i all sin ferd.,She was honest and straightforward in all her dealings.,
travelers,B2,et,ferdafolk,X,,,folk som er ute og reiser,X,Ferdafolket slo leir ved innsjøen for natten.,The travelers made camp by the lake for the night.,
prepare,C,expression,ferde seg til,X,,Old Norse,"gjøre seg i stand, klar til (å reise)",X,Jeg må ferde meg til for å komme i tide.,I have to drive myself to get there on time.,
travel,B2,verb,ferdes,X,,Old Norse: ferðast,"fare, reise; ha sin daglige gang, vanke",X,Han pleier å ferdes ofte i skogen.,He tends to spend a lot of time in the woods.,
"done, finished",A2,adjective,ferdig,X,"[fæ`rdi], [fæ:`rdi]",Old Norse: ferðugr,"som er avsluttet, tilberedt, fullført eller i stand; beredt, parat, klar; ikke lenger kvalifisert, aktuell eller brukende; passé, uttjent; utslitt, utmattet; som er nær ved eller på nippet",X,"Når du er ferdig med leksene, kan vi gå ut.","When you're done with your homework, we can go out.",
ready-mixed,B2,adjective,ferdigblandet,X,,Old Norse,som er blandet ferdig,X,De brukte en ferdigblandet løsning for å gjøre jobben raskere.,They used a pre-mixed solution to do the job faster.,
"skill, ability",B1,ei,ferdighet,X,,Old Norse,"(oppøvd) egenskap til å gjøre noe; dyktighet, øvelse, evne",X,Språkferdighet er viktig i dagens samfunn.,Language skills are important in today's society.,
prepared food,B1,en,ferdigmat,X,,Old Norse,mat som en kjøper ferdiglaget eller som en bare trenger å varme opp,X,Jeg kjøpte ferdigmat til middag fordi jeg ikke hadde tid til å lage noe.,I bought ready-made food for dinner because I didn't have time to cook anything.,
"finish, complete",B2,verb,ferdigstille,X,,Old Norse,"gjøre ferdig, særlig om bygg- og anleggsarbeid",X,De skal ferdigstille prosjektet innen fredag.,They will complete the project by Friday.,
"traffic, movement",B2,ei,ferdsel,X,"[fæ´rts(ə)l], [fæ´r-ds(ə)l]",Old Norse,"personer og transportmidlers bevegelse langs veier og lignende, trafikk",X,Her var den største ferdselen av folk.,Here was the largest traffic of people.,
thoroughfare,B2,ei,ferdselsåre,X,,Old Norse,"gate, vei, elv eller lignende der det er mye ferdsel",X,Motorveien er en viktig ferdselsåre gjennom landet.,The highway is an important route through the country.,
"ferry, shuttle",A2,en,"ferge, ferje",X,[fæ`rgə],Old Norse: ferja,fartøy til å frakte folk og kjøretøyer,X,Vi tok ferja til den andre siden av fjorden.,We took the ferry to the other side of the fjord.,
"vacation, holiday",A1,en,ferie,X,[fe:´riə],Latin: feriae,"sammenhengende rekke av dager med fri fra arbeid, skole eller studier",X,Hva skal du gjøre i ferien?,What will you do during your vacation?,
vacation allowance,B1,en,feriepenger,X,,Latin,penger en arbeidstaker tjener opp som en viss prosent av inntekten det foregående året og får utbetalt før ferien,X,Feriepengene kom inn på kontoen i dag.,The holiday money arrived in the account today.,
vacation,A2,verb,feriere,X,,Latin,være eller reise på ferie,X,Vi planlegger å feriere i Italia denne sommeren.,We are planning to vacation in Italy this summer.,
vacation resort,B1,et,feriested,X,,Latin,sted en reiser på ferie eller der det er vanlig å reise på ferie,X,De dro til et vakkert feriested ved sjøen.,They went to a beautiful seaside resort.,
ferment,C,verb,fermentere,X,,Latin,gjære eller få til å gjære,X,"Når melk fermenteres, oppstår det en bakteriekultur som er gunstig for mennesker.","When milk is fermented, it creates a bacterial culture that is beneficial to humans.",
"fresh, new",A2,adjective,fersk,X,[fæʃk],German via Old Norse: ferskr,"som ikke har begynt å tape seg, tørke, visne eller lignende",X,Fisken er fersk og smaker fantastisk.,The fish is fresh and tastes fantastic.,
peach,A2,en,fersken,X,[fæ´rsk(ə)n],Latin via German: Pfirschen,"ferskentre; saftfull, rødgul frukt med hårete skall og stor stein av ferskentre",X,Han spiste en fersken etter treningen.,He ate a peach after his workout.,
fresh food,B1,en,ferskmat,X,,,kjøtt eller fisk som ikke er saltet; ferskvare,X,Ferskmat må oppbevares kjølig og brukes innen få dager.,Fresh food must be kept cool and used within a few days.,
fresh water,A2,et,ferskvann,X,,German via Old Norse,vann som ikke er salt,X,Vi svømte i det klare ferskvannet.,We swam in the clear fresh water.,
fresh food,A2,ei,ferskvare,X,,German via Old Norse,usaltet eller ikke konservert matvare,X,"Butikken selger ferskvarer som frukt, grønnsaker og kjøtt.","The store sells fresh produce such as fruit, vegetables and meat.",
fertile,B2,adjective,fertil,X,[færti:´l],Latin via French,som kan få avkom,X,Hun er fertil og klar for å starte en familie.,She is fertile and ready to start a family.,
fertility,C,en,fertilitet,X,,Latin,evne til å få avkom; fruktbarhet; mengde fødsler i en gruppe mennesker eller dyr,X,Fertilitet handler både om evnen til å få barn og om hvor mange som blir født i en befolkning.,Fertility is about both the ability to have children and how many are born in a population.,
party,A2,en,fest,X,[fest],Latin via German,"selskapelig sammenkomst, kalas",X,Vi skal på fest i helgen.,We're going to a party this weekend.,
party,A2,verb,feste,X,,Latin via German,holde eller være med på fest,X,Jeg vil ikke feste hele natten.,I don't want to party all night long.,
"hold, place to attach",B2,et,feste,X,,Old Norse,sted eller punkt der en fester eller får fast noe,X,Stativet hadde et feste til mikrofonen.,The stand had an attachment for the microphone.,
attach,A2,verb,feste,X,,Old Norse,"gjøre fast ved å binde, stifte, lime, knytte eller lignende",X,Vi må feste plakaten på veggen.,We need to attach the poster to the wall.,
partying,B1,ei,festing,X,,,det å feste,X,Jeg er ingen tilhenger av festing og fyll.,I'm not a fan of partying and drinking.,
festival,A2,en,festival,X,,Latin via English,"større kulturelt arrangement med ett hovedemne, vanligvis årlig eller tilbakevendende",X,Mange kjente artister opptrer på årets festival.,Many well-known artists are performing at this year's festival.,
festivity,B2,en,festivitas,X,,,"feststemning, høytid",X,Det var mye festivitas i byen under jubileet.,There was a lot of festivity in the city during the anniversary.,
festive,A2,adjective,festlig,X,,Latin via German,som gjelder eller kjennetegner fest eller høytid; høytidelig,X,Det var en veldig festlig kveld med god mat og drikke.,It was a very festive evening with good food and drinks.,
celebrate,B2,verb,festligholde,X,,Latin via German,feire; markere med fest eller høytidelighet,X,De vil festligholde jubileet med en stor feiring.,They want to mark the anniversary with a big celebration.,
