engelsk,CEFR,gender,ord,uttale,etymologi,definisjon,eksempel
childcare,A2,et,barnepass,,Old Norse,pass av barn,Vi trenger barnepass til lørdag kveld.
nanny,A2,ei,barnepike,,Old Norse,"jente som passer og steller småbarn",Barnepiken passer på barna mens foreldrene er på jobb.
having many children,B1,adjective,barnerik,,Old Norse,med mange barn,
children's room,A2,et,barnerom,,Old Norse,"sove- og oppholdsrom for barn",Hjemme hos de nybakte foreldrene sto barnerommet klart.
primary school,A2,en,barneskole,,Old Norse,"barnetrinnet i grunnskolen",Datteren min går på barneskolen i nabolaget.
children's parade,B1,et,barnetog,,Old Norse,tog av barn; festlig tog arrangert spesielt for barn,Barnetoget syttende mai går om formiddagen.
"babysitting, babysitter",A2,ei,barnevakt,,Old Norse,det å passe på barn mens foreldrene er borte; person som sitter barnevakt,Barnevakten kommer klokken seks i kveld.
baby carriage,A2,ei,barnevogn,,Old Norse,vogn til å trille småbarn i,Hun trillet babyen i en barnevogn i parken.
baby carriage mafia,B2,en,barnevognmafia,,Old Norse,"større gruppe av mødre med barnevogner (som setter sitt preg på gater, kafeer og lignende på dagtid)",Om dagen er det barnevognmafiaen som råder grunnen der de hippe tar over på kveldstid.
childish,B1,adjective,barnslig,,Old Norse,"umoden, ufornuftig; barnlig",Ikke vær så barnslig!
bar,B2,en,barre,,French,"kort stang eller blokk av støpt, edelt metall",
barrier,B2,en,barriere,,French,"sperring, hindring, skranke; fysisk, mentalt eller emosjonell hindring eller skille som begrenser eller beskytter noe eller noen",
coniferous forest,B1,en,"barskog, barskau",,,skog av bartrær,
moustache,A2,en,bart,,German,skjegg på overleppa; ansiktshåret som vokser over overleppen,Han har hatt bart siden han var tjue år gammel.
conifer,B1,et,bartre,,,"tre med nål- eller skjellformede blad og med enkjønnede, nakne blomster",
booth,B1,en,bås,,Old Norse: báss,"avdelt plass i større rom, for eksempel på restauranter; plass for fastbundet husdyr i et fjøs; en liten, avgrenset plass eller et rom i et større område",Dere kan få sitte i en egen bås.
base,B2,en,base,,Greek,"utgangspunkt for en aktivitet",
baseball,A2,en,baseball,[bæi´sbål],English,"amerikansk ballspill spilt av to 9-mannslag, der en av spillerne, etter å ha slått ballen med et balltre, skal løpe til et hjørne av banen",De spilte baseball i parken i går ettermiddag.
base number,B2,et,basetall,,Greek,"mål for mengden av baser, alkalier i en olje",
the basics,B1,noun,basics,[bæi´siks],Greek via English,grunnleggende elementer,
base,B2,en,basis,,Greek,"grunnlag, forutsetning for noe",
basic,B2,adjective,basisk,,Greek,som har egenskapene til en base; motsatt sur,
basketball,A2,en,basketball,,English,lagspill der det gjelder å få poeng ved å få ballen i en høythengende kurv på motstanderens banehalvdel; kurvball; ball brukt i basketball,Han elsker å spille basketball med vennene sine i helgene.
pool,A2,et,basseng,,Latin via French,avgrenset område fylt med vann,De svømte i et stort basseng i ferieanlegget.
boat,A1,en,båt,[bå:t],Old Norse: bátr,"liten farkost til å ro eller drive frem med seil eller motor; fartøy, skip; noe som i formen ligner på en båt",Båten drev innover mot bredden.
bat mitzvah,B2,en,bat mitzva,[ba:t mi´tsva],Hebrew,"jødisk fest, seremoni som markerer at en jente blir religiøst myndig; jødisk konfirmasjon (for jenter); jødisk jente som har fylt 12 år; (kvinnelig) jødisk konfirmant",
battalion,B2,en,bataljon,[bataljo:´n],Italian via French,hæravdeling med soldater fra samme forsvarsgren,
batch,B2,en,batch,[bætsj],English,noe som produseres i én omgang; sats; serie; samling prosesser eller datafiler som behandles som én enhet,Vi produserte en ny batch med produkter i dag.
battery,A2,et,batteri,[bateriˊ],Latin via French,et visst antall kanoner som ledes samlet; grunnenhet i artilleriet; fast skyts på et krigsskip; galvanisk(e) element(er) eller akkumulator(er) som omformer kjemisk energi til elektrisk strøm,Nå skal det bli godt med noen fridager for å få ladet batteriene.
ask to be treated well,B2,expression,be for seg,,Old Norse,be om å bli behandlet skånsomt,
"ask for trouble, provoke",B2,expression,be om bråk,,Old Norse,forårsake bråk; provosere,
beg on one's knees,B2,expression,be på sine knær,,Old Norse,be inntrengende om noe,
"ask, pray",A2,verb,"be, bede",,Old Norse: biðja,henvende seg til noen for å oppnå noe; anmode; holde bønn; gå i forbønn for; invitere,Jeg må be ham om unnskyldning.
inspire,C,verb,beånde,,,inspirere,
inspired,C,adjective,"beåndet, beånda",,,"åndfull, inspirert",
"process, adapt, edit",B1,verb,bearbeide,,German,"arbeide på, med; omarbeide, behandle",Hun har bearbeidet stykket helt selv.
inhabit,B2,verb,bebo,[bebo:´],German,bo på et sted; bo eller leve i et bestemt sted eller område,
blame,B2,verb,bebreide,,Old Norse,"legge skyld på; laste, klandre, kritisere",
blame,B2,en,bebreidelse,,Old Norse,"det å bebreide; anklage, kritikk, irettesettelse",Det var ikke ment som en bebreidelse.
charm,B2,verb,bedåre,,German,sjarmere; gjøre forelsket i seg,Hun bedårer alle hun møter.
"charming, adorable",B2,adjective,bedårende,,German,"fortryllende, sjarmerende",
charmer,B2,en,bedårer,,German,person som bedårer folk; sjarmør,
"appraise, judge",B2,verb,bedømme,,German,"dømme om, vurdere",
rating,B2,en,bedømmelse,,,det å bedømme; vurdering,
numb,B2,verb,bedøve,,German,gjøre følelsesløs med bedøvelsesmiddel,
"anesthetic, numbing",B2,en,bedøvelse,,German,"bedøvelsesmiddel",Hun fikk bedøvelse før tannen ble trukket.
anesthetic,C,et,bedøvelsesmiddel,,German,anestetisk eller narkotisk middel,Legen brukte et bedøvelsesmiddel før operasjonen.
deceive,B2,verb,bedra,,German,"svindle, snyte",
deception,B2,et,bedrag,,German,"svik, snyteri, narring; handlingen med å villede eller forlede noen med den hensikt å oppnå en fordel eller skade",
better,A2,adjective,bedre,,Old Norse,mer tilfredsstillende eller hensiktsmessig; med høyere verdi,Jeg føler meg mye bedre i dag enn i går.
improve,B1,verb,bedre ,,Old Norse,gjøre bedre,Hun prøvde å bedre situasjonen ved å snakke med sjefen.
know-it-all,B2,adjective,bedrevitende,,German,som tror en forstår og vet mer enn andre; som gir uttrykk for eller er preget av tro på at en forstår og vet mer enn andre,
know-it-all,B2,en,bedreviter,,German,"bedrevitende person; person som fremstår som overdrevent kunnskapsrik, selvtilfreds eller overlegen når det gjelder en gitt sak eller emne",
"business, company",B1,en,bedrift,,German,"handels-, håndverks- eller industriforetak",
business advisor,C,en,bedriftsrådgiver,,,rådgiver for næringslivet,
"improvement, recovery",A2,ei,bedring ,,Old Norse,det å bli bedre,Været er i bedring.
"sadden, disappoint",B2,verb,bedrøve,,German,"gjøre sorgfull, bedrøvet; skuffe",
"sadness, disappointment",B2,en,bedrøvelse ,,German,det å være bedrøvet,
"sad, disappointed",B2,adjective,bedrøvet,,German,sorgtung; trist,
commander,B2,et,befal,,German,fellesbetegnelse for offiserer og underoffiserer i Forsvaret; fellesbetegnelse for offiserer i handelsflåten,Båten hadde norsk befal og kinesisk mannskap.
"command, require",B2,verb,befale,,German,gi ordre til; påby,
commander,B2,en,befalhavende,,German,offiser som har kommando,
"commadment, requirement",B2,ei,befaling,,German,"det å befale; påbud, ordre",
concern,C,ei,befatning,,German,det å ha noe å gjøre med en person eller et forhold; forbindelse; berøring,Jeg vil ikke ha noen befatning med henne.
deal with,B2,verb,befatte ,[befa´t:ə],German,beskjeftige seg med; ha å gjøre med,
concern oneself with,B2,expression,befatte seg med,,German,beskjeftige seg med; ha å gjøre med,Jeg befatter meg ikke med politikk.
"fortify, strengthen",B2,verb,befeste,,German,gjøre sterkere eller mer solid,
fortification,B2,ei,befestning,,German,det å befeste noe; festningsverk,
find oneself,B2,verb,befinne,,German,oppholde seg; føle seg,
populate,B2,verb,befolke,,German,slå seg ned i og bebo,Byen er befolket av mennesker fra mange land.
population,B1,ei,befolkning,,German,samlet antall mennesker som bor i et område,Landet har en befolkning på 10 millioner mennesker.
population density,B2,ei,befolkningstetthet ,,German,forholdet mellom folketall og areal i et bestemt område,Befolkningstettheten er avgjørende for spredningen av viruset.
"transport, carry",C,verb,befordre,,German,"transportere, frakte",
means of transport,C,et,befordringsmiddel,,German,"kjøretøy, fartøy brukt til transport, frakt; transportmiddel",
charter,C,verb,befrakte,,German,leie (en del av) et skip eller annet transportmiddel for transport av gods eller personer,
charterer,C,en,befrakter,,German,person som befrakter et skip; person på rederikontor som inngår avtale om å befrakte skip,
chartering,C,ei,befraktning,,German,det å leie et skip for transport av varer,
"liberate, free",B1,verb,befri,,German,"sette fri fra fangenskap, undertrykkelse eller lignende",En svær mengde samlet seg utenfor fengslet og befridde fangen.
liberation,B1,en,befrielse,,German,det å befri eller bli befridd; frigjøring; lettelse,
fertilize,B2,verb,befrukte,,German,"bringe hannlig kjønnscelle sammen med hunnlig kjønnscelle (hos menneske, dyr eller plante) slik at det vokser frem et nytt individ; besvangre",
"fertilization, insemination",B2,ei,befruktning,,German,"sammensmeltning av hannlige og hunnlige kjønnsceller (hos menneske, dyr eller plante)",
commit,B2,verb,begå,,German,gjøre seg skyldig i; utøve; utføre,Hun begikk den feilen at hun stolte på ham.
"talent, gift",B2,en,begavelse,,German,medfødt anlegg; talent,
"talented, gifted",B2,adjective,begavet,,German,"talentfull, intelligent, lovende",
excite,B2,verb,begeistre,,German,gjøre oppglødd; fylle med beundring og glede,
"excited, enthusiastic",B1,adjective,begeistret,,German,glad og opprømt; entusiastisk,
"excitement, enthusiasm",B1,ei,begeistring,,German,det å gjøre eller bli oppglødd,
"beaker, goblet",B1,et,beger,[be:´gər],Old Norse: bikarr,rundt drikkekar uten hank; mengde væske eller lignende som et beger inneholder,
both,A2,numeral,begge,,Old Norse: beggja,"brukt om to (personer, ting, begreper) for å uttrykke at de er omtalt sammen, eller at de naturlig hører sammen",Hun var med begge gangene. Det var i begges interesse. Begge deler er rett.
"set off, leave",B2,verb,begi,[beji:´],German,dra av sted; reise,Han bega sjøen.
"event, incident",B2,ei,begivenhet,,German,"noe som skjer, betydningsfull hendelse",
"desire, lust",B2,et,begjær,,German,"sterk trang, lengsel, attrå",
"request, application",B2,ei,begjæring,,German,det å begjære; anmodning,
stare at,B2,verb,beglo,,German,stirre på; glo,
lamentable,C,adjective,begredelig,,German,"som fremkaller eller er preget av sorg og bekymring; ynkelig, trist, sørgelig",
limit,B1,verb,begrense,,German,holde innenfor visse grenser,
"limit, limitation",B1,ei,begrensning ,,German,"det å begrense; noe som begrenser; avgrensing, reduksjon",
"concept, term, idea",B1,et,begrep,,German,"klart avgrenset og allmenngyldig forestilling om felles og karakteristiske trekk ved en gitt type ting, vesener eller fenomener",
"conceptualize, grasp, understand",B2,verb,begripe,,German,forstå betydning eller sammenheng,
comprehensible,B2,adjective,begripelig,,,som er mulig å begripe; forståelig,
"conceptualization, understanding",B2,en,begripelse,,German,"det å begripe, oppfatte",
justify,B1,verb,begrunne,,German,oppgi grunn for,
"reasoning, grounds",B1,en,begrunnelse ,,German,"det som oppgis som grunnen til noe; argument, grunngivning, motivering",
favor,C,verb,begunstige,[begu´nstigə],German: begünstigen,gjøre noe som blir til gunst for noen; vise ekstra velvilje; favorisere,Sjefen begunstiger henne.
"begin, start",A2,verb,begynne,,German,gå i gang med; ta til med; sette i gang,"Skynd deg, filmen begynner om ti minutter."
"beginning, start",A2,en,begynnelse,,German,første del av et forløp eller en periode; det at noe begynner; start,Dette er bare begynnelsen på vårt spennende eventyr.
beginner,B1,en,begynner,,,person som begynner med noe,
"starting salary, starting wage",B2,ei,begynnerlønn,,,lønn en får når en begynner i en stilling og ikke har opptjent ansiennitet,Begynnerlønnen for sivilingeniører har økt kraftig.
bra,A2,en,behå,,,"brystholder, bh","Jeg trenger en ny behå, denne har blitt for liten."
pleasantness,B1,et,behag,,German,"følelse av tilfredshet og velvære; tilstand av glede, tilfredshet eller velvære",
pleasant,A2,adjective,behagelig,,German,som gir en følelse av velvære,Sofaen er utrolig behagelig å sitte i.
treat,B1,verb,behandle,,German,benytte en bestemt fremgangsmåte for å helbrede noen eller redusere et helseproblem,
treatment,B1,ei,behandling,,German,medisinsk tiltak for å helbrede noen eller redusere et helseproblem,
hairy,B2,adjective,behåret,,German,"dekket med hår",
encumber,C,verb,behefte,,German,"bebyrde med gjeldsforpliktelser, især tinglyst gjeld på fast eiendom; forbundet med noe negativt; belemret med",
nimble,B2,adjective,behendig,,German,rask og smidig; fingernem,
master,B1,verb,beherske,,German,ha kraft eller evne til å klare,
helpful,B2,adjective,behjelpelig,,German,villig til å hjelpe; hjelpsom,
"keep, retain",B1,verb,beholde ,,German,fortsette å ha; ikke gi slipp på,
container,B1,en,beholder,,German,"hul gjenstand av hardt materiale, brukt til å oppbevare eller transportere væsker, masser eller gjenstander i; kar, tank, kanne, dunk",
duly,B2,adjective,behørig ,,German,som kreves eller er naturlig i en viss situasjon; tilbørlig,
"need, requirement",A2,et,behov,[beho:´v],German,"det å trenge noe som kan oppheve en fysiologisk, psykologisk eller praktisk mangeltilstand; trang",Reklamen skaper ofte kunstige behov.
"need, require",A2,verb,behøve,[behø:´və],German,"ha bruk for; trenge; gammeldags og formelt uttrykk som betyr å trenge, ha bruk for eller være nødt til",Ingen behøver å få vite det.
needs assessment,B2,en,behovsanalyse,,German,analyse av kunders eller brukeres behov for en vare eller tjeneste,Helsetjenestene er et resultat av systematiske behovsanalyser.
means-tested,B2,adjective,behovsprøvd,,German,"prøvd, kontrollert mot en gjennomgang av behov",
means test,B2,verb,behovsprøve,,German,"undersøke om en person har behov for en økonomisk ytelse eller annen hjelp før behovet eventuelt blir oppfylt",
demand-controlled,B2,adjective,behovsstyrt,,German,"som springer ut av et behov i en gruppe, en virksomhet eller lignende",
need satisfaction,C,en,behovstilfredsstillelse,,German,"tilfredsstillelse av behov",
"bone, leg",A1,et,"bein, ben",,Old Norse: bein,del av et skjelett hos menneske eller dyr; knokkel; knokkel med kjøttrester på; knoke; emne av bein; kroppsdel som brukes til å gå med; kroppsdel fra hofte til fotblad hos menneske; noe som (i form og funksjon) ligner et bein,Graven inneholdt bare noe brente bein. Insekter har tre par bein.
straight,B2,adjective,"bein, ben",,Old Norse: beinn,"rak, rett; som danner eller følger en rett linje; som går rett på sak",
run,B1,verb,"beine, bene",[bæi`nə],Old Norse,"bruke beina; løpe; sparke kraftig, men planløst",
"tough, hard as bone",B2,adjective,beinhard,,Old Norse,hard som bein,
boneless,B2,adjective,beinløs,,Old Norse,uten bein,
bonemeal,B2,et,"beinmel, beinmjøl, benmel, benmjøl",,Old Norse,"mel av knuste bein, særlig brukt til gjødsel og dyrefôr",
